Comination,P_5,Recall
a1-s1-f1,0.3058,0.5025
a1-s1-f2,0.3742,0.5925
a1-s1-f3,0.3956,0.6189
a2-s2-f1,0.3191,0.5177
a2-s2-f2,0.3813,0.6037
a2-s2-f3,0.4009,0.6245
a1-s3-f1,0.2267,0.4963
a1-s3-f2,0.3138,0.5484
a1-s3-f3,0.3253,0.555
a2-s1-f1,0.1838,0.3795
a2-s1-f2,0.2509,0.4493
a2-s1-f3,0.242,0.4638
a2-s2-f1,0.1955,0.3791
a2-s2-f2,0.2518,0.4424
a2-s2-f3,0.2634,0.4546
a2-s3-f1,0.1694,0.3723
a2-s3-f2,0.1813,0.3923
a2-s3-f3,0.1848,0.3972
a3-s1-f1,0.1758,0.3493
a3-s1-f2,0.2321,0.4295
a3-s1-f3,0.2357,0.4454
a3-s2-f1,0.1865,0.3694
a3-s2-f2,0.2446,0.4325
a3-s2-f3,0.2554,0.4439
a3-s3-f1,0.1668,0.3707
a3-s3-f2,0.1696,0.3781
a3-s3-f3,0.1723,0.3829